ID_s,lat_s,lon_s,rows,cols
1,5.25,97.25,190.0,554.0
2,5.25,97.75,190.0,555.0
3,5.25,98.25,190.0,556.0
4,5.25,98.75,190.0,557.0
5,5.25,99.25,190.0,558.0
6,5.25,99.75,190.0,559.0
7,5.25,100.25,190.0,560.0
8,5.25,100.75,190.0,561.0
9,5.25,101.25,190.0,562.0
10,5.25,101.75,190.0,563.0
11,5.25,102.25,190.0,564.0
12,5.25,102.75,190.0,565.0
13,5.25,103.25,190.0,566.0
14,5.25,103.75,190.0,567.0
15,5.25,104.25,190.0,568.0
16,5.25,104.75,190.0,569.0
17,5.25,105.25,190.0,570.0
18,5.25,105.75,190.0,571.0
19,5.75,97.25,191.0,554.0
20,5.75,97.75,191.0,555.0
21,5.75,98.25,191.0,556.0
22,5.75,98.75,191.0,557.0
23,5.75,99.25,191.0,558.0
24,5.75,99.75,191.0,559.0
25,5.75,100.25,191.0,560.0
26,5.75,100.75,191.0,561.0
27,5.75,101.25,191.0,562.0
28,5.75,101.75,191.0,563.0
29,5.75,102.25,191.0,564.0
30,5.75,102.75,191.0,565.0
31,5.75,103.25,191.0,566.0
32,5.75,103.75,191.0,567.0
33,5.75,104.25,191.0,568.0
34,5.75,104.75,191.0,569.0
35,5.75,105.25,191.0,570.0
36,5.75,105.75,191.0,571.0
37,6.25,97.25,192.0,554.0
38,6.25,97.75,192.0,555.0
39,6.25,98.25,192.0,556.0
40,6.25,98.75,192.0,557.0
41,6.25,99.25,192.0,558.0
42,6.25,99.75,192.0,559.0
43,6.25,100.25,192.0,560.0
44,6.25,100.75,192.0,561.0
45,6.25,101.25,192.0,562.0
46,6.25,101.75,192.0,563.0
47,6.25,102.25,192.0,564.0
48,6.25,102.75,192.0,565.0
49,6.25,103.25,192.0,566.0
50,6.25,103.75,192.0,567.0
51,6.25,104.25,192.0,568.0
52,6.25,104.75,192.0,569.0
53,6.25,105.25,192.0,570.0
54,6.25,105.75,192.0,571.0
55,6.75,97.25,193.0,554.0
56,6.75,97.75,193.0,555.0
57,6.75,98.25,193.0,556.0
58,6.75,98.75,193.0,557.0
59,6.75,99.25,193.0,558.0
60,6.75,99.75,193.0,559.0
61,6.75,100.25,193.0,560.0
62,6.75,100.75,193.0,561.0
63,6.75,101.25,193.0,562.0
64,6.75,101.75,193.0,563.0
65,6.75,102.25,193.0,564.0
66,6.75,102.75,193.0,565.0
67,6.75,103.25,193.0,566.0
68,6.75,103.75,193.0,567.0
69,6.75,104.25,193.0,568.0
70,6.75,104.75,193.0,569.0
71,6.75,105.25,193.0,570.0
72,6.75,105.75,193.0,571.0
73,7.25,97.25,194.0,554.0
74,7.25,97.75,194.0,555.0
75,7.25,98.25,194.0,556.0
76,7.25,98.75,194.0,557.0
77,7.25,99.25,194.0,558.0
78,7.25,99.75,194.0,559.0
79,7.25,100.25,194.0,560.0
80,7.25,100.75,194.0,561.0
81,7.25,101.25,194.0,562.0
82,7.25,101.75,194.0,563.0
83,7.25,102.25,194.0,564.0
84,7.25,102.75,194.0,565.0
85,7.25,103.25,194.0,566.0
86,7.25,103.75,194.0,567.0
87,7.25,104.25,194.0,568.0
88,7.25,104.75,194.0,569.0
89,7.25,105.25,194.0,570.0
90,7.25,105.75,194.0,571.0
91,7.75,97.25,195.0,554.0
92,7.75,97.75,195.0,555.0
93,7.75,98.25,195.0,556.0
94,7.75,98.75,195.0,557.0
95,7.75,99.25,195.0,558.0
96,7.75,99.75,195.0,559.0
97,7.75,100.25,195.0,560.0
98,7.75,100.75,195.0,561.0
99,7.75,101.25,195.0,562.0
100,7.75,101.75,195.0,563.0
101,7.75,102.25,195.0,564.0
102,7.75,102.75,195.0,565.0
103,7.75,103.25,195.0,566.0
104,7.75,103.75,195.0,567.0
105,7.75,104.25,195.0,568.0
106,7.75,104.75,195.0,569.0
107,7.75,105.25,195.0,570.0
108,7.75,105.75,195.0,571.0
109,8.25,97.25,196.0,554.0
110,8.25,97.75,196.0,555.0
111,8.25,98.25,196.0,556.0
112,8.25,98.75,196.0,557.0
113,8.25,99.25,196.0,558.0
114,8.25,99.75,196.0,559.0
115,8.25,100.25,196.0,560.0
116,8.25,100.75,196.0,561.0
117,8.25,101.25,196.0,562.0
118,8.25,101.75,196.0,563.0
119,8.25,102.25,196.0,564.0
120,8.25,102.75,196.0,565.0
121,8.25,103.25,196.0,566.0
122,8.25,103.75,196.0,567.0
123,8.25,104.25,196.0,568.0
124,8.25,104.75,196.0,569.0
125,8.25,105.25,196.0,570.0
126,8.25,105.75,196.0,571.0
127,8.75,97.25,197.0,554.0
128,8.75,97.75,197.0,555.0
129,8.75,98.25,197.0,556.0
130,8.75,98.75,197.0,557.0
131,8.75,99.25,197.0,558.0
132,8.75,99.75,197.0,559.0
133,8.75,100.25,197.0,560.0
134,8.75,100.75,197.0,561.0
135,8.75,101.25,197.0,562.0
136,8.75,101.75,197.0,563.0
137,8.75,102.25,197.0,564.0
138,8.75,102.75,197.0,565.0
139,8.75,103.25,197.0,566.0
140,8.75,103.75,197.0,567.0
141,8.75,104.25,197.0,568.0
142,8.75,104.75,197.0,569.0
143,8.75,105.25,197.0,570.0
144,8.75,105.75,197.0,571.0
145,9.25,97.25,198.0,554.0
146,9.25,97.75,198.0,555.0
147,9.25,98.25,198.0,556.0
148,9.25,98.75,198.0,557.0
149,9.25,99.25,198.0,558.0
150,9.25,99.75,198.0,559.0
151,9.25,100.25,198.0,560.0
152,9.25,100.75,198.0,561.0
153,9.25,101.25,198.0,562.0
154,9.25,101.75,198.0,563.0
155,9.25,102.25,198.0,564.0
156,9.25,102.75,198.0,565.0
157,9.25,103.25,198.0,566.0
158,9.25,103.75,198.0,567.0
159,9.25,104.25,198.0,568.0
160,9.25,104.75,198.0,569.0
161,9.25,105.25,198.0,570.0
162,9.25,105.75,198.0,571.0
163,9.75,97.25,199.0,554.0
164,9.75,97.75,199.0,555.0
165,9.75,98.25,199.0,556.0
166,9.75,98.75,199.0,557.0
167,9.75,99.25,199.0,558.0
168,9.75,99.75,199.0,559.0
169,9.75,100.25,199.0,560.0
170,9.75,100.75,199.0,561.0
171,9.75,101.25,199.0,562.0
172,9.75,101.75,199.0,563.0
173,9.75,102.25,199.0,564.0
174,9.75,102.75,199.0,565.0
175,9.75,103.25,199.0,566.0
176,9.75,103.75,199.0,567.0
177,9.75,104.25,199.0,568.0
178,9.75,104.75,199.0,569.0
179,9.75,105.25,199.0,570.0
180,9.75,105.75,199.0,571.0
181,10.25,97.25,200.0,554.0
182,10.25,97.75,200.0,555.0
183,10.25,98.25,200.0,556.0
184,10.25,98.75,200.0,557.0
185,10.25,99.25,200.0,558.0
186,10.25,99.75,200.0,559.0
187,10.25,100.25,200.0,560.0
188,10.25,100.75,200.0,561.0
189,10.25,101.25,200.0,562.0
190,10.25,101.75,200.0,563.0
191,10.25,102.25,200.0,564.0
192,10.25,102.75,200.0,565.0
193,10.25,103.25,200.0,566.0
194,10.25,103.75,200.0,567.0
195,10.25,104.25,200.0,568.0
196,10.25,104.75,200.0,569.0
197,10.25,105.25,200.0,570.0
198,10.25,105.75,200.0,571.0
199,10.75,97.25,201.0,554.0
200,10.75,97.75,201.0,555.0
201,10.75,98.25,201.0,556.0
202,10.75,98.75,201.0,557.0
203,10.75,99.25,201.0,558.0
204,10.75,99.75,201.0,559.0
205,10.75,100.25,201.0,560.0
206,10.75,100.75,201.0,561.0
207,10.75,101.25,201.0,562.0
208,10.75,101.75,201.0,563.0
209,10.75,102.25,201.0,564.0
210,10.75,102.75,201.0,565.0
211,10.75,103.25,201.0,566.0
212,10.75,103.75,201.0,567.0
213,10.75,104.25,201.0,568.0
214,10.75,104.75,201.0,569.0
215,10.75,105.25,201.0,570.0
216,10.75,105.75,201.0,571.0
217,11.25,97.25,202.0,554.0
218,11.25,97.75,202.0,555.0
219,11.25,98.25,202.0,556.0
220,11.25,98.75,202.0,557.0
221,11.25,99.25,202.0,558.0
222,11.25,99.75,202.0,559.0
223,11.25,100.25,202.0,560.0
224,11.25,100.75,202.0,561.0
225,11.25,101.25,202.0,562.0
226,11.25,101.75,202.0,563.0
227,11.25,102.25,202.0,564.0
228,11.25,102.75,202.0,565.0
229,11.25,103.25,202.0,566.0
230,11.25,103.75,202.0,567.0
231,11.25,104.25,202.0,568.0
232,11.25,104.75,202.0,569.0
233,11.25,105.25,202.0,570.0
234,11.25,105.75,202.0,571.0
235,11.75,97.25,203.0,554.0
236,11.75,97.75,203.0,555.0
237,11.75,98.25,203.0,556.0
238,11.75,98.75,203.0,557.0
239,11.75,99.25,203.0,558.0
240,11.75,99.75,203.0,559.0
241,11.75,100.25,203.0,560.0
242,11.75,100.75,203.0,561.0
243,11.75,101.25,203.0,562.0
244,11.75,101.75,203.0,563.0
245,11.75,102.25,203.0,564.0
246,11.75,102.75,203.0,565.0
247,11.75,103.25,203.0,566.0
248,11.75,103.75,203.0,567.0
249,11.75,104.25,203.0,568.0
250,11.75,104.75,203.0,569.0
251,11.75,105.25,203.0,570.0
252,11.75,105.75,203.0,571.0
253,12.25,97.25,204.0,554.0
254,12.25,97.75,204.0,555.0
255,12.25,98.25,204.0,556.0
256,12.25,98.75,204.0,557.0
257,12.25,99.25,204.0,558.0
258,12.25,99.75,204.0,559.0
259,12.25,100.25,204.0,560.0
260,12.25,100.75,204.0,561.0
261,12.25,101.25,204.0,562.0
262,12.25,101.75,204.0,563.0
263,12.25,102.25,204.0,564.0
264,12.25,102.75,204.0,565.0
265,12.25,103.25,204.0,566.0
266,12.25,103.75,204.0,567.0
267,12.25,104.25,204.0,568.0
268,12.25,104.75,204.0,569.0
269,12.25,105.25,204.0,570.0
270,12.25,105.75,204.0,571.0
271,12.75,97.25,205.0,554.0
272,12.75,97.75,205.0,555.0
273,12.75,98.25,205.0,556.0
274,12.75,98.75,205.0,557.0
275,12.75,99.25,205.0,558.0
276,12.75,99.75,205.0,559.0
277,12.75,100.25,205.0,560.0
278,12.75,100.75,205.0,561.0
279,12.75,101.25,205.0,562.0
280,12.75,101.75,205.0,563.0
281,12.75,102.25,205.0,564.0
282,12.75,102.75,205.0,565.0
283,12.75,103.25,205.0,566.0
284,12.75,103.75,205.0,567.0
285,12.75,104.25,205.0,568.0
286,12.75,104.75,205.0,569.0
287,12.75,105.25,205.0,570.0
288,12.75,105.75,205.0,571.0
289,13.25,97.25,206.0,554.0
290,13.25,97.75,206.0,555.0
291,13.25,98.25,206.0,556.0
292,13.25,98.75,206.0,557.0
293,13.25,99.25,206.0,558.0
294,13.25,99.75,206.0,559.0
295,13.25,100.25,206.0,560.0
296,13.25,100.75,206.0,561.0
297,13.25,101.25,206.0,562.0
298,13.25,101.75,206.0,563.0
299,13.25,102.25,206.0,564.0
300,13.25,102.75,206.0,565.0
301,13.25,103.25,206.0,566.0
302,13.25,103.75,206.0,567.0
303,13.25,104.25,206.0,568.0
304,13.25,104.75,206.0,569.0
305,13.25,105.25,206.0,570.0
306,13.25,105.75,206.0,571.0
307,13.75,97.25,207.0,554.0
308,13.75,97.75,207.0,555.0
309,13.75,98.25,207.0,556.0
310,13.75,98.75,207.0,557.0
311,13.75,99.25,207.0,558.0
312,13.75,99.75,207.0,559.0
313,13.75,100.25,207.0,560.0
314,13.75,100.75,207.0,561.0
315,13.75,101.25,207.0,562.0
316,13.75,101.75,207.0,563.0
317,13.75,102.25,207.0,564.0
318,13.75,102.75,207.0,565.0
319,13.75,103.25,207.0,566.0
320,13.75,103.75,207.0,567.0
321,13.75,104.25,207.0,568.0
322,13.75,104.75,207.0,569.0
323,13.75,105.25,207.0,570.0
324,13.75,105.75,207.0,571.0
325,14.25,97.25,208.0,554.0
326,14.25,97.75,208.0,555.0
327,14.25,98.25,208.0,556.0
328,14.25,98.75,208.0,557.0
329,14.25,99.25,208.0,558.0
330,14.25,99.75,208.0,559.0
331,14.25,100.25,208.0,560.0
332,14.25,100.75,208.0,561.0
333,14.25,101.25,208.0,562.0
334,14.25,101.75,208.0,563.0
335,14.25,102.25,208.0,564.0
336,14.25,102.75,208.0,565.0
337,14.25,103.25,208.0,566.0
338,14.25,103.75,208.0,567.0
339,14.25,104.25,208.0,568.0
340,14.25,104.75,208.0,569.0
341,14.25,105.25,208.0,570.0
342,14.25,105.75,208.0,571.0
343,14.75,97.25,209.0,554.0
344,14.75,97.75,209.0,555.0
345,14.75,98.25,209.0,556.0
346,14.75,98.75,209.0,557.0
347,14.75,99.25,209.0,558.0
348,14.75,99.75,209.0,559.0
349,14.75,100.25,209.0,560.0
350,14.75,100.75,209.0,561.0
351,14.75,101.25,209.0,562.0
352,14.75,101.75,209.0,563.0
353,14.75,102.25,209.0,564.0
354,14.75,102.75,209.0,565.0
355,14.75,103.25,209.0,566.0
356,14.75,103.75,209.0,567.0
357,14.75,104.25,209.0,568.0
358,14.75,104.75,209.0,569.0
359,14.75,105.25,209.0,570.0
360,14.75,105.75,209.0,571.0
361,15.25,97.25,210.0,554.0
362,15.25,97.75,210.0,555.0
363,15.25,98.25,210.0,556.0
364,15.25,98.75,210.0,557.0
365,15.25,99.25,210.0,558.0
366,15.25,99.75,210.0,559.0
367,15.25,100.25,210.0,560.0
368,15.25,100.75,210.0,561.0
369,15.25,101.25,210.0,562.0
370,15.25,101.75,210.0,563.0
371,15.25,102.25,210.0,564.0
372,15.25,102.75,210.0,565.0
373,15.25,103.25,210.0,566.0
374,15.25,103.75,210.0,567.0
375,15.25,104.25,210.0,568.0
376,15.25,104.75,210.0,569.0
377,15.25,105.25,210.0,570.0
378,15.25,105.75,210.0,571.0
379,15.75,97.25,211.0,554.0
380,15.75,97.75,211.0,555.0
381,15.75,98.25,211.0,556.0
382,15.75,98.75,211.0,557.0
383,15.75,99.25,211.0,558.0
384,15.75,99.75,211.0,559.0
385,15.75,100.25,211.0,560.0
386,15.75,100.75,211.0,561.0
387,15.75,101.25,211.0,562.0
388,15.75,101.75,211.0,563.0
389,15.75,102.25,211.0,564.0
390,15.75,102.75,211.0,565.0
391,15.75,103.25,211.0,566.0
392,15.75,103.75,211.0,567.0
393,15.75,104.25,211.0,568.0
394,15.75,104.75,211.0,569.0
395,15.75,105.25,211.0,570.0
396,15.75,105.75,211.0,571.0
397,16.25,97.25,212.0,554.0
398,16.25,97.75,212.0,555.0
399,16.25,98.25,212.0,556.0
400,16.25,98.75,212.0,557.0
401,16.25,99.25,212.0,558.0
402,16.25,99.75,212.0,559.0
403,16.25,100.25,212.0,560.0
404,16.25,100.75,212.0,561.0
405,16.25,101.25,212.0,562.0
406,16.25,101.75,212.0,563.0
407,16.25,102.25,212.0,564.0
408,16.25,102.75,212.0,565.0
409,16.25,103.25,212.0,566.0
410,16.25,103.75,212.0,567.0
411,16.25,104.25,212.0,568.0
412,16.25,104.75,212.0,569.0
413,16.25,105.25,212.0,570.0
414,16.25,105.75,212.0,571.0
415,16.75,97.25,213.0,554.0
416,16.75,97.75,213.0,555.0
417,16.75,98.25,213.0,556.0
418,16.75,98.75,213.0,557.0
419,16.75,99.25,213.0,558.0
420,16.75,99.75,213.0,559.0
421,16.75,100.25,213.0,560.0
422,16.75,100.75,213.0,561.0
423,16.75,101.25,213.0,562.0
424,16.75,101.75,213.0,563.0
425,16.75,102.25,213.0,564.0
426,16.75,102.75,213.0,565.0
427,16.75,103.25,213.0,566.0
428,16.75,103.75,213.0,567.0
429,16.75,104.25,213.0,568.0
430,16.75,104.75,213.0,569.0
431,16.75,105.25,213.0,570.0
432,16.75,105.75,213.0,571.0
433,17.25,97.25,214.0,554.0
434,17.25,97.75,214.0,555.0
435,17.25,98.25,214.0,556.0
436,17.25,98.75,214.0,557.0
437,17.25,99.25,214.0,558.0
438,17.25,99.75,214.0,559.0
439,17.25,100.25,214.0,560.0
440,17.25,100.75,214.0,561.0
441,17.25,101.25,214.0,562.0
442,17.25,101.75,214.0,563.0
443,17.25,102.25,214.0,564.0
444,17.25,102.75,214.0,565.0
445,17.25,103.25,214.0,566.0
446,17.25,103.75,214.0,567.0
447,17.25,104.25,214.0,568.0
448,17.25,104.75,214.0,569.0
449,17.25,105.25,214.0,570.0
450,17.25,105.75,214.0,571.0
451,17.75,97.25,215.0,554.0
452,17.75,97.75,215.0,555.0
453,17.75,98.25,215.0,556.0
454,17.75,98.75,215.0,557.0
455,17.75,99.25,215.0,558.0
456,17.75,99.75,215.0,559.0
457,17.75,100.25,215.0,560.0
458,17.75,100.75,215.0,561.0
459,17.75,101.25,215.0,562.0
460,17.75,101.75,215.0,563.0
461,17.75,102.25,215.0,564.0
462,17.75,102.75,215.0,565.0
463,17.75,103.25,215.0,566.0
464,17.75,103.75,215.0,567.0
465,17.75,104.25,215.0,568.0
466,17.75,104.75,215.0,569.0
467,17.75,105.25,215.0,570.0
468,17.75,105.75,215.0,571.0
469,18.25,97.25,216.0,554.0
470,18.25,97.75,216.0,555.0
471,18.25,98.25,216.0,556.0
472,18.25,98.75,216.0,557.0
473,18.25,99.25,216.0,558.0
474,18.25,99.75,216.0,559.0
475,18.25,100.25,216.0,560.0
476,18.25,100.75,216.0,561.0
477,18.25,101.25,216.0,562.0
478,18.25,101.75,216.0,563.0
479,18.25,102.25,216.0,564.0
480,18.25,102.75,216.0,565.0
481,18.25,103.25,216.0,566.0
482,18.25,103.75,216.0,567.0
483,18.25,104.25,216.0,568.0
484,18.25,104.75,216.0,569.0
485,18.25,105.25,216.0,570.0
486,18.25,105.75,216.0,571.0
487,18.75,97.25,217.0,554.0
488,18.75,97.75,217.0,555.0
489,18.75,98.25,217.0,556.0
490,18.75,98.75,217.0,557.0
491,18.75,99.25,217.0,558.0
492,18.75,99.75,217.0,559.0
493,18.75,100.25,217.0,560.0
494,18.75,100.75,217.0,561.0
495,18.75,101.25,217.0,562.0
496,18.75,101.75,217.0,563.0
497,18.75,102.25,217.0,564.0
498,18.75,102.75,217.0,565.0
499,18.75,103.25,217.0,566.0
500,18.75,103.75,217.0,567.0
501,18.75,104.25,217.0,568.0
502,18.75,104.75,217.0,569.0
503,18.75,105.25,217.0,570.0
504,18.75,105.75,217.0,571.0
505,19.25,97.25,218.0,554.0
506,19.25,97.75,218.0,555.0
507,19.25,98.25,218.0,556.0
508,19.25,98.75,218.0,557.0
509,19.25,99.25,218.0,558.0
510,19.25,99.75,218.0,559.0
511,19.25,100.25,218.0,560.0
512,19.25,100.75,218.0,561.0
513,19.25,101.25,218.0,562.0
514,19.25,101.75,218.0,563.0
515,19.25,102.25,218.0,564.0
516,19.25,102.75,218.0,565.0
517,19.25,103.25,218.0,566.0
518,19.25,103.75,218.0,567.0
519,19.25,104.25,218.0,568.0
520,19.25,104.75,218.0,569.0
521,19.25,105.25,218.0,570.0
522,19.25,105.75,218.0,571.0
523,19.75,97.25,219.0,554.0
524,19.75,97.75,219.0,555.0
525,19.75,98.25,219.0,556.0
526,19.75,98.75,219.0,557.0
527,19.75,99.25,219.0,558.0
528,19.75,99.75,219.0,559.0
529,19.75,100.25,219.0,560.0
530,19.75,100.75,219.0,561.0
531,19.75,101.25,219.0,562.0
532,19.75,101.75,219.0,563.0
533,19.75,102.25,219.0,564.0
534,19.75,102.75,219.0,565.0
535,19.75,103.25,219.0,566.0
536,19.75,103.75,219.0,567.0
537,19.75,104.25,219.0,568.0
538,19.75,104.75,219.0,569.0
539,19.75,105.25,219.0,570.0
540,19.75,105.75,219.0,571.0
541,20.25,97.25,220.0,554.0
542,20.25,97.75,220.0,555.0
543,20.25,98.25,220.0,556.0
544,20.25,98.75,220.0,557.0
545,20.25,99.25,220.0,558.0
546,20.25,99.75,220.0,559.0
547,20.25,100.25,220.0,560.0
548,20.25,100.75,220.0,561.0
549,20.25,101.25,220.0,562.0
550,20.25,101.75,220.0,563.0
551,20.25,102.25,220.0,564.0
552,20.25,102.75,220.0,565.0
553,20.25,103.25,220.0,566.0
554,20.25,103.75,220.0,567.0
555,20.25,104.25,220.0,568.0
556,20.25,104.75,220.0,569.0
557,20.25,105.25,220.0,570.0
558,20.25,105.75,220.0,571.0
559,20.75,97.25,221.0,554.0
560,20.75,97.75,221.0,555.0
561,20.75,98.25,221.0,556.0
562,20.75,98.75,221.0,557.0
563,20.75,99.25,221.0,558.0
564,20.75,99.75,221.0,559.0
565,20.75,100.25,221.0,560.0
566,20.75,100.75,221.0,561.0
567,20.75,101.25,221.0,562.0
568,20.75,101.75,221.0,563.0
569,20.75,102.25,221.0,564.0
570,20.75,102.75,221.0,565.0
571,20.75,103.25,221.0,566.0
572,20.75,103.75,221.0,567.0
573,20.75,104.25,221.0,568.0
574,20.75,104.75,221.0,569.0
575,20.75,105.25,221.0,570.0
576,20.75,105.75,221.0,571.0
