Name,Club,Position,Nationality,Age,Goals,Shots on target,Clean sheets,Tackles,Blocked shots,Interceptions,Clearances,Duels won,Aerial battles won,Assists,Passes,Big chances created,Through balls,Accurate long balls,Saves
Bernd Leno,Arsenal,Goalkeeper,Germany,28,0,0,14,0,0,0,0,0,0,0,1783,0,0,234,222
Matt Macey,Arsenal,Goalkeeper,England,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R?nar Alex R?narsson,Arsenal,Goalkeeper,Iceland,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H?ctor Beller?n,Arsenal,Defender,Spain,25,7,0,53,214,32,208,304,611,161,18,7125,28,31,144,0
Kieran Tierney,Arsenal,Defender,Scotland,23,1,0,2,21,1,12,32,55,10,1,519,1,0,22,0
William Saliba,Arsenal,Defender,France,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sokratis,Arsenal,Defender,Greece,32,3,0,9,67,4,43,175,227,115,2,2416,4,2,172,0
Rob Holding,Arsenal,Defender,England,25,0,0,10,50,3,54,170,176,96,0,2200,0,1,116,0
Shkodran Mustafi,Arsenal,Defender,Germany,28,7,0,26,197,14,195,531,670,413,4,5907,5,13,273,0
Calum Chambers,Arsenal,Defender,England,25,6,0,28,257,22,247,537,703,301,3,5935,9,4,304,0
David Luiz,Arsenal,Defender,Brazil,33,13,0,64,240,59,344,832,846,344,7,10165,22,79,980,0
Sead Kolasinac,Arsenal,Defender,Bosnia And Herzegovina,27,2,0,17,112,11,72,111,284,97,11,3201,18,3,67,0
Gabriel Magalh?es,Arsenal,Defender,Brazil,22,1,0,1,2,0,2,8,8,4,0,197,0,0,6,0
Mesut ?zil,Arsenal,Midfielder,Germany,31,33,92,0,161,58,75,37,625,28,54,11186,65,121,276,0
Lucas Torreira,Arsenal,Midfielder,Uruguay,24,3,12,0,96,10,75,53,276,32,3,2493,3,4,94,0
Ainsley Maitland-Niles,Arsenal,Midfielder,England,23,1,4,0,101,3,62,66,218,29,3,1867,4,2,74,0
Mohamed Elneny,Arsenal,Midfielder,Egypt,28,0,5,0,57,22,41,41,109,18,3,2532,2,4,83,0
Joseph Willock,Arsenal,Midfielder,England,21,1,5,0,30,4,6,10,75,9,1,398,1,3,15,0
Matteo Guendouzi,Arsenal,Midfielder,France,21,0,9,0,75,11,59,58,263,31,1,2750,4,16,148,0
Emile Smith Rowe,Arsenal,Midfielder,England,20,0,0,0,1,0,1,2,4,0,0,35,0,0,0,0
Granit Xhaka,Arsenal,Midfielder,Switzerland,27,8,41,0,254,40,133,208,650,181,13,9739,12,35,673,0
Bukayo Saka,Arsenal,Midfielder,England,19,1,4,0,36,5,12,12,0,0,5,716,6,0,0,0
Dani Ceballos,Arsenal,Midfielder,Spain,24,0,3,0,49,6,37,14,127,12,3,1372,2,7,81,0
Alexandre Lacazette,Arsenal,Forward,France,29,39,93,0,92,44,30,49,0,0,16,2045,15,0,0,0
Pierre-Emerick Aubameyang,Arsenal,Forward,Gabon,31,55,105,0,58,52,25,38,0,0,13,1880,17,0,0,0
Nicolas P?p?,Arsenal,Forward,Cote D'Ivoire,25,5,18,0,32,14,8,4,0,0,6,723,8,0,0,0
Reiss Nelson,Arsenal,Forward,England,20,1,4,0,15,5,6,2,0,0,0,286,0,0,0,0
Eddie Nketiah,Arsenal,Forward,England,21,4,8,0,9,4,2,6,0,0,0,172,1,0,0,0
Gabriel Martinelli,Arsenal,Forward,Brazil,19,3,5,0,20,2,3,5,46,8,0,116,0,1,2,0
Willian,Arsenal,Forward,Brazil,32,37,145,0,246,111,100,54,0,0,35,8290,51,0,0,0
Tom Heaton,Aston-Villa,Goalkeeper,England,34,0,0,28,0,0,0,0,0,0,0,3290,0,0,1067,408
Jed Steer,Aston-Villa,Goalkeeper,England,28,0,0,0,0,0,0,0,0,0,0,32,0,0,6,2
?rjan Nyland,Aston-Villa,Goalkeeper,Norway,30,0,0,1,0,0,0,0,0,0,0,152,0,0,35,15
Lovre Kalinic,Aston-Villa,Goalkeeper,Croatia,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Mart?nez,Aston-Villa,Goalkeeper,Argentina,28,0,0,7,0,0,0,0,0,0,0,397,0,0,62,44
Neil Taylor,Aston-Villa,Defender,Wales,31,0,0,38,266,14,241,350,493,94,5,5491,6,5,214,0
Ezri Konsa Ngoyo,Aston-Villa,Defender,England,22,2,0,5,19,3,27,70,116,56,2,810,2,0,36,0
Matt Targett,Aston-Villa,Defender,England,25,2,0,12,122,8,124,156,274,84,6,2240,13,8,140,0
Bj?rn Engels,Aston-Villa,Defender,Belgium,26,1,0,2,11,0,28,85,71,55,0,647,0,0,49,0
Fr?d?ric Guilbert,Aston-Villa,Defender,France,25,0,0,2,74,2,49,62,164,48,2,749,1,0,40,0
Ahmed El Mohamady,Aston-Villa,Defender,Egypt,33,6,0,28,267,19,246,342,960,444,13,6628,19,7,304,0
Kortney Hause,Aston-Villa,Defender,England,25,1,3,0,21,2,20,94,138,100,0,799,1,1,62,0
Tyrone Mings,Aston-Villa,Defender,England,27,2,0,7,30,1,49,253,162,96,3,1961,2,0,155,0
Matthew Cash,Aston-Villa,Defender,England,23,0,0,1,1,2,2,4,1,0,0,56,0,0,3,0
Douglas Luiz,Aston-Villa,Midfielder,Brazil,22,3,13,0,46,17,36,47,150,31,2,1300,3,4,100,0
John McGinn,Aston-Villa,Midfielder,Scotland,25,3,20,0,53,12,26,15,193,19,3,759,3,3,85,0
Henri Lansbury,Aston-Villa,Midfielder,England,29,0,0,0,7,1,1,2,10,2,0,115,0,0,11,0
Jack Grealish,Aston-Villa,Midfielder,England,25,9,32,0,45,33,44,17,419,29,7,2098,12,2,103,0
Marvelous Nakamba,Aston-Villa,Midfielder,Zimbabwe,26,0,1,0,55,0,39,32,115,23,0,782,0,0,24,0
Conor Hourihane,Aston-Villa,Midfielder,Ireland,29,3,10,0,16,13,9,27,54,14,5,665,8,1,22,0
Tr?z?guet,Aston-Villa,Midfielder,Egypt,25,6,17,0,40,22,27,14,134,32,1,388,0,0,10,0
Anwar El Ghazi,Aston-Villa,Midfielder,Netherlands,25,4,20,0,20,11,13,12,97,31,4,479,4,1,15,0
Jota,Aston-Villa,Midfielder,Spain,29,0,1,0,3,4,3,5,13,1,1,93,1,2,6,0
Jacob Ramsey,Aston-Villa,Midfielder,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley,Aston-Villa,Forward,Brazil,23,5,18,0,15,8,4,23,0,0,1,367,1,0,0,0
Keinan Davis,Aston-Villa,Forward,England,22,0,5,0,1,2,0,4,0,0,0,149,0,0,0,0
Ollie Watkins,Aston-Villa,Forward,England,24,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0
Bertrand Traor?,Aston-Villa,Forward,Burkina Faso,25,2,6,0,9,7,2,3,0,0,1,136,1,0,0,0
Mat Ryan,Brighton-and-Hove-Albion,Goalkeeper,Australia,28,0,0,26,0,0,0,0,0,0,0,3272,0,0,964,340
Jason Steele,Brighton-and-Hove-Albion,Goalkeeper,England,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Walton,Brighton-and-Hove-Albion,Goalkeeper,England,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert S?nchez,Brighton-and-Hove-Albion,Goalkeeper,Spain,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,Brighton-and-Hove-Albion,Defender,England,22,0,0,1,2,0,2,2,8,4,0,101,0,0,4,0
Tariq Lamptey,Brighton-and-Hove-Albion,Defender,England,19,0,0,1,12,2,23,16,57,5,2,243,4,0,3,0
Lewis Dunk,Brighton-and-Hove-Albion,Defender,England,28,6,0,27,151,16,173,547,560,345,5,5364,3,6,506,0
Adam Webster,Brighton-and-Hove-Albion,Defender,England,25,3,0,6,33,3,48,112,179,114,1,2001,2,1,120,0
Bernardo,Brighton-and-Hove-Albion,Defender,Brazil,25,0,0,2,89,5,40,86,212,75,1,1115,3,0,35,0
Dan Burn,Brighton-and-Hove-Albion,Defender,England,28,0,0,9,73,5,51,203,270,165,0,1792,2,3,62,0
Jo?l Veltman,Brighton-and-Hove-Albion,Defender,Netherlands,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romaric Yapi,Brighton-and-Hove-Albion,Defender,France,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Cochrane,Brighton-and-Hove-Albion,Defender,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haydon Roberts,Brighton-and-Hove-Albion,Defender,England,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,Brighton-and-Hove-Albion,Midfielder,England,31,1,5,0,261,16,167,152,402,73,5,4785,4,7,381,0
Yves Bissouma,Brighton-and-Hove-Albion,Midfielder,Mali,24,1,10,0,115,11,57,48,285,48,0,1441,1,6,74,0
Alexis Mac Allister,Brighton-and-Hove-Albion,Midfielder,Argentina,21,0,1,0,9,3,1,1,17,3,0,98,0,0,2,0
Pascal Gro?,Brighton-and-Hove-Albion,Midfielder,Germany,29,12,38,0,101,29,37,48,216,49,15,2937,35,17,166,0
Adam Lallana,Brighton-and-Hove-Albion,Midfielder,England,32,30,96,0,322,91,166,126,886,120,28,6407,25,47,146,0
Solly March,Brighton-and-Hove-Albion,Midfielder,England,26,2,26,0,140,31,62,66,372,52,7,1971,13,3,100,0
Davy Pr?pper,Brighton-and-Hove-Albion,Midfielder,Netherlands,29,2,15,0,187,22,151,134,456,112,7,4384,7,7,258,0
Steven Alzate,Brighton-and-Hove-Albion,Midfielder,Colombia,22,0,4,0,34,7,15,13,0,0,0,681,0,0,0,0
Max Sanders,Brighton-and-Hove-Albion,Midfielder,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Molumby,Brighton-and-Hove-Albion,Midfielder,Ireland,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lars Dendoncker,Brighton-and-Hove-Albion,Midfielder,Belgium,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Gwargis,Brighton-and-Hove-Albion,Midfielder,Sweden,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Trossard,Brighton-and-Hove-Albion,Forward,Belgium,25,6,14,0,23,8,11,6,0,0,4,772,7,0,0,0
Neal Maupay,Brighton-and-Hove-Albion,Forward,France,24,12,41,0,21,31,5,9,0,0,4,710,3,0,0,0
Alireza Jahanbakhsh,Brighton-and-Hove-Albion,Forward,Iran,27,2,8,0,41,10,14,3,0,0,0,401,2,0,0,0
Jos? Izquierdo,Brighton-and-Hove-Albion,Forward,Colombia,28,5,19,0,38,19,21,32,0,0,4,728,4,0,0,0
Aaron Connolly,Brighton-and-Hove-Albion,Forward,Ireland,20,4,16,0,8,14,0,3,0,0,1,161,1,0,0,0
Florin Andone,Brighton-and-Hove-Albion,Forward,Romania,27,4,9,0,11,6,3,13,0,0,0,177,0,0,0,0
Viktor Gy?keres,Brighton-and-Hove-Albion,Forward,Sweden,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Pope,Burnley,Goalkeeper,England,28,0,0,26,0,0,0,0,0,0,0,2124,0,0,647,237
Bailey Peacock-Farrell,Burnley,Goalkeeper,Northern Ireland,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Norris,Burnley,Goalkeeper,England,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Lowton,Burnley,Defender,England,31,2,0,36,415,6,317,697,796,198,12,5463,18,19,466,0
Charlie Taylor,Burnley,Defender,England,27,0,0,19,111,1,86,186,411,144,2,2249,3,0,134,0
James Tarkowski,Burnley,Defender,England,27,5,0,34,202,13,166,691,861,540,3,3839,7,0,355,0
Ben Mee,Burnley,Defender,England,31,4,0,47,240,13,260,1082,986,609,4,6088,7,1,634,0
Erik Pieters,Burnley,Defender,Netherlands,32,1,0,44,538,11,354,620,1142,324,11,6880,17,5,308,0
Phil Bardsley,Burnley,Defender,Scotland,35,7,0,67,728,56,423,1081,1395,302,5,9247,17,19,584,0
Kevin Long,Burnley,Defender,Ireland,30,1,0,7,63,6,34,214,236,139,3,1038,4,0,104,0
Jimmy Dunne,Burnley,Defender,Ireland,22,1,0,0,0,0,2,8,9,7,0,25,0,0,2,0
Bobby Thomas,Burnley,Defender,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Driscoll-Glennon,Burnley,Defender,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Cork,Burnley,Midfielder,England,31,8,42,0,466,43,400,477,1312,393,9,11059,11,34,591,0
J?hann Gudmundsson,Burnley,Midfielder,Iceland,29,7,37,0,93,32,91,90,313,93,17,1750,12,3,82,0
Josh Brownhill,Burnley,Midfielder,England,24,0,0,0,15,3,19,17,52,21,0,368,0,0,10,0
Dwight McNeil,Burnley,Midfielder,England,20,5,20,0,83,25,43,59,0,0,12,1509,17,0,0,0
Robbie Brady,Burnley,Midfielder,Ireland,28,9,42,0,241,54,136,214,596,136,12,3280,23,12,195,0
Ashley Westwood,Burnley,Midfielder,England,30,9,34,0,336,48,321,241,586,94,25,9880,39,22,790,0
Josh Benson,Burnley,Midfielder,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Wood,Burnley,Forward,New Zealand,28,36,81,0,28,22,7,62,0,0,4,1535,8,0,0,0
Ashley Barnes,Burnley,Forward,England,30,38,104,0,103,53,33,111,0,0,6,2475,11,0,0,0
Jay Rodriguez,Burnley,Forward,England,31,41,140,0,154,87,82,113,0,0,12,2835,14,0,0,0
Matej Vydra,Burnley,Forward,Czech Republic,28,6,20,0,10,5,5,13,0,0,5,359,4,0,0,0
Kepa Arrizabalaga,Chelsea,Goalkeeper,Spain,25,0,0,22,0,0,0,0,0,0,0,2006,0,0,334,142
Willy Caballero,Chelsea,Goalkeeper,Argentina,38,0,0,11,0,0,0,0,0,0,0,798,0,0,166,72
Antonio R?diger,Chelsea,Defender,Germany,27,5,0,28,93,15,72,252,341,199,1,5738,5,14,364,0
Marcos Alonso,Chelsea,Defender,Spain,29,20,0,52,288,63,215,369,800,286,12,6434,17,8,214,0
Andreas Christensen,Chelsea,Defender,Denmark,24,0,0,12,76,3,74,193,254,145,0,3213,2,3,131,0
Kurt Zouma,Chelsea,Defender,France,25,5,0,35,160,13,225,653,681,413,4,5767,2,0,396,0
Reece James,Chelsea,Defender,England,20,1,0,4,43,6,26,27,137,42,3,1104,6,0,45,0
C?sar Azpilicueta,Chelsea,Defender,Spain,31,8,0,95,722,29,475,788,1400,475,31,15647,32,25,633,0
Fikayo Tomori,Chelsea,Defender,England,22,1,0,4,32,1,24,53,81,34,0,1193,0,3,43,0
Emerson,Chelsea,Defender,Italy,26,0,0,4,43,6,28,31,122,25,1,1285,3,2,32,0
Ben Chilwell,Chelsea,Defender,England,23,4,0,24,157,10,117,261,637,261,9,4540,12,8,137,0
Thiago Silva,Chelsea,Defender,Brazil,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Castillo,Chelsea,Defender,Netherlands,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakim Ziyech,Chelsea,Midfielder,Morocco,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,Chelsea,Midfielder,Italy,28,7,13,0,147,9,130,64,256,29,3,5482,12,50,231,0
N'Golo Kant?,Chelsea,Midfielder,France,29,10,29,0,540,46,420,184,922,123,10,8952,15,28,364,0
Ross Barkley,Chelsea,Midfielder,England,26,25,119,0,172,145,76,108,973,170,27,7686,32,59,469,0
Ruben Loftus-Cheek,Chelsea,Midfielder,England,24,9,19,0,54,27,44,41,355,65,6,1854,7,6,50,0
Mateo Kovacic,Chelsea,Midfielder,Croatia,26,1,9,0,108,24,30,34,320,19,5,3398,4,19,128,0
Mason Mount,Chelsea,Midfielder,England,21,7,29,0,43,28,18,19,136,10,5,1312,8,3,28,0
Christian Pulisic,Chelsea,Midfielder,United States,22,9,26,0,23,15,6,7,128,20,4,668,6,4,19,0
Billy Gilmour,Chelsea,Midfielder,Scotland,19,0,0,0,5,0,3,2,10,2,0,172,0,0,9,0
Kai Havertz,Chelsea,Midfielder,Germany,21,0,0,0,3,0,0,1,6,2,0,41,0,1,1,0
Timo Werner,Chelsea,Forward,Germany,24,0,1,0,1,3,3,2,0,0,0,49,0,0,0,0
Tammy Abraham,Chelsea,Forward,England,22,20,56,0,18,26,8,39,0,0,4,721,6,0,0,0
Olivier Giroud,Chelsea,Forward,France,33,86,212,0,145,104,64,178,0,0,28,4718,40,0,0,0
Callum Hudson-Odoi,Chelsea,Forward,England,19,1,8,0,18,14,8,4,0,0,6,641,8,0,0,0
Wayne Hennessey,Crystal-Palace,Goalkeeper,Wales,33,0,0,37,0,0,0,0,0,0,1,4858,0,0,1618,617
Vicente Guaita,Crystal-Palace,Goalkeeper,Spain,33,0,0,18,0,0,0,0,0,0,0,1428,0,0,357,182
Stephen Henderson,Crystal-Palace,Goalkeeper,Ireland,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Ferguson,Crystal-Palace,Defender,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Ward,Crystal-Palace,Defender,England,30,4,0,45,483,25,368,796,1218,406,5,6449,9,3,356,0
Patrick van Aanholt,Crystal-Palace,Defender,Netherlands,30,20,0,40,350,51,326,439,680,69,14,6833,25,14,290,0
James Tomkins,Crystal-Palace,Defender,England,31,12,0,58,447,26,443,2029,1442,823,7,8210,8,4,752,0
Scott Dann,Crystal-Palace,Defender,England,33,15,0,48,291,29,343,1536,1016,612,11,6399,11,4,665,0
Mamadou Sakho,Crystal-Palace,Defender,France,30,3,0,32,144,4,200,697,534,298,2,5917,2,2,280,0
Gary Cahill,Crystal-Palace,Defender,England,34,27,0,99,471,63,452,2849,1946,1157,10,12718,8,6,847,0
Martin Kelly,Crystal-Palace,Defender,England,30,0,0,29,335,8,153,641,646,240,5,3820,2,2,202,0
Tyrick Mitchell,Crystal-Palace,Defender,England,21,0,0,1,15,0,3,5,19,0,0,132,0,0,6,0
Jaroslaw Jach,Crystal-Palace,Defender,Poland,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Woods,Crystal-Palace,Defender,England,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Inniss,Crystal-Palace,Defender,England,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Milivojevic,Crystal-Palace,Midfielder,Serbia,29,27,55,0,264,41,227,202,597,167,4,5573,8,9,394,0
Max Meyer,Crystal-Palace,Midfielder,Germany,25,1,10,0,52,14,22,20,111,6,2,864,0,0,19,0
Cheikhou Kouyat?,Crystal-Palace,Midfielder,Senegal,30,13,54,0,446,33,310,412,1311,547,10,5799,3,8,176,0
Andros Townsend,Crystal-Palace,Midfielder,England,29,22,103,0,353,112,177,82,1025,19,22,4717,40,12,111,0
Jeffrey Schlupp,Crystal-Palace,Midfielder,Ghana,27,11,0,17,278,43,177,217,773,211,8,3156,10,4,163,0
James McArthur,Crystal-Palace,Midfielder,Scotland,32,23,64,0,613,68,398,312,1304,314,18,10076,21,32,570,0
James McCarthy,Crystal-Palace,Midfielder,Ireland,29,13,47,0,674,65,421,366,1190,148,12,10840,8,23,835,0
Jairo Riedewald,Crystal-Palace,Midfielder,Netherlands,24,0,0,0,25,2,29,31,45,7,0,484,0,1,29,0
Eberechi Eze,Crystal-Palace,Midfielder,England,22,0,0,0,2,0,0,0,4,0,0,14,0,0,0,0
Nya Kirby,Crystal-Palace,Midfielder,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Ayew,Crystal-Palace,Forward,Ghana,29,25,78,0,226,73,76,55,0,0,9,2968,12,0,0,0
Wilfried Zaha,Crystal-Palace,Forward,Cote D'Ivoire,27,39,119,0,294,106,123,32,0,0,24,4555,36,0,0,0
Christian Benteke,Crystal-Palace,Forward,Belgium,29,72,208,0,80,117,26,214,0,0,20,5666,31,0,0,0
Connor Wickham,Crystal-Palace,Forward,England,27,19,59,0,93,56,53,109,0,0,7,2003,5,0,0,0
Brandon Pierrick,Crystal-Palace,Forward,England,18,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0
Michy Batshuayi,Crystal-Palace,Forward,Belgium,26,13,25,0,13,22,7,6,0,0,3,421,0,0,0,0
Jordan Pickford,Everton,Goalkeeper,England,26,0,0,38,0,0,0,0,0,0,0,4553,0,0,1273,462
Jo?o Virg?nia,Everton,Goalkeeper,Portugal,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas L?ssl,Everton,Goalkeeper,Denmark,31,0,0,14,0,0,0,0,0,0,2,2290,0,0,746,191
Mason Holgate,Everton,Defender,England,23,0,0,14,113,3,81,274,319,124,4,2429,7,2,218,0
Michael Keane,Everton,Defender,England,27,6,0,40,157,17,249,978,899,685,5,6162,7,3,479,0
Lucas Digne,Everton,Defender,France,27,4,0,20,150,29,104,195,452,209,12,2961,21,2,130,0
Yerry Mina,Everton,Defender,Colombia,26,3,0,8,54,7,41,156,229,153,1,2052,2,1,149,0
S?amus Coleman,Everton,Defender,Ireland,31,20,0,78,480,48,296,542,1308,195,21,8930,36,12,342,0
Jarrad Branthwaite,Everton,Defender,England,18,0,0,1,8,0,2,11,20,9,0,223,0,0,13,0
Jonjoe Kenny,Everton,Defender,England,23,0,0,6,64,2,46,107,142,62,2,1045,3,0,68,0
Niels Nkounkou,Everton,Defender,France,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Delph,Everton,Midfielder,England,30,7,36,0,395,36,283,213,987,130,8,8857,7,13,508,0
Gylfi Sigurdsson,Everton,Midfielder,Iceland,31,61,221,0,348,203,283,163,863,88,45,7752,68,95,204,0
Andr? Gomes,Everton,Midfielder,Portugal,27,1,5,0,64,6,27,25,229,56,2,2169,2,4,187,0
Jean-Philippe Gbamin,Everton,Midfielder,Cote D'Ivoire,24,0,0,0,4,0,1,4,11,3,0,70,0,0,2,0
Tom Davies,Everton,Midfielder,England,22,5,15,0,132,25,100,63,417,72,4,2909,5,9,135,0
Beni Baningime,Everton,Midfielder,The Democratic Republic Of Congo,22,0,0,0,6,0,2,1,9,1,0,82,0,0,3,0
Allan,Everton,Midfielder,Brazil,29,0,1,0,9,0,3,3,16,1,0,140,0,0,7,0
