Name,Club,Position,Nationality,Age,Goals,Shots on target,Clean sheets,Tackles,Blocked shots,Interceptions,Clearances,Duels won,Aerial battles won,Assists,Passes,Big chances created,Through balls,Accurate long balls,Saves
Jamaal Lascelles,Newcastle-United,Defender,England,26,6,0,30,90,3,123,645,489,343,1,3699,2,2,237,0
Emil Krafth,Newcastle-United,Defender,Sweden,26,0,0,2,18,1,8,40,36,8,1,329,1,0,10,0
Federico Fern?ndez,Newcastle-United,Defender,Argentina,31,4,0,43,254,13,305,1070,777,399,7,7218,5,2,523,0
Javier Manquillo,Newcastle-United,Defender,Spain,26,1,0,18,171,2,100,221,359,88,5,2235,4,1,79,0
DeAndre Yedlin,Newcastle-United,Defender,United States,27,2,0,19,169,5,107,269,398,109,5,2500,6,3,90,0
Jamal Lewis,Newcastle-United,Defender,Northern Ireland,22,1,0,3,53,2,27,57,122,9,0,1101,1,1,33,0
Jacob Murphy,Newcastle-United,Midfielder,England,25,1,8,0,19,7,7,15,76,11,2,325,4,1,11,0
Jonjo Shelvey,Newcastle-United,Midfielder,England,28,20,114,0,261,105,198,175,573,109,23,8878,30,67,976,0
Matt Ritchie,Newcastle-United,Midfielder,Scotland,31,11,51,0,193,76,150,173,507,113,20,4121,27,16,222,0
Isaac Hayden,Newcastle-United,Midfielder,England,25,3,17,0,171,20,104,102,424,161,6,2149,9,6,69,0
Miguel Almir?n,Newcastle-United,Midfielder,Paraguay,26,4,25,0,81,25,39,20,222,11,3,1098,4,3,28,0
Christian Atsu,Newcastle-United,Midfielder,Ghana,28,3,28,0,52,17,26,41,217,32,6,1096,12,8,24,0
Sean Longstaff,Newcastle-United,Midfielder,England,22,2,9,0,52,10,29,28,123,26,1,925,3,1,64,0
Matthew Longstaff,Newcastle-United,Midfielder,England,20,2,2,0,3,1,5,3,17,6,0,255,1,1,10,0
Jeff Hendrick,Newcastle-United,Midfielder,Ireland,28,10,25,0,91,38,80,93,349,94,6,3063,7,10,134,0
Ryan Fraser,Newcastle-United,Midfielder,Scotland,26,16,61,0,57,38,67,80,364,31,26,3469,41,16,94,0
Henri Saivet,Newcastle-United,Midfielder,Senegal,29,1,1,0,18,0,9,10,23,3,0,106,0,0,4,0
Daniel Barlaser,Newcastle-United,Midfielder,England,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Carroll,Newcastle-United,Forward,England,31,53,172,0,103,107,74,323,0,0,22,4726,28,0,0,0
Joelinton,Newcastle-United,Forward,Brazil,24,2,15,0,36,13,11,31,0,0,2,836,3,0,0,0
Allan Saint-Maximin,Newcastle-United,Forward,France,23,3,21,0,15,14,9,5,0,0,4,458,8,0,0,0
Dwight Gayle,Newcastle-United,Forward,England,29,25,59,0,61,41,26,41,0,0,6,1201,6,0,0,0
Callum Wilson,Newcastle-United,Forward,England,28,42,91,0,41,47,19,48,0,0,12,1694,21,0,0,0
Wes Foderingham,Sheffield-United,Goalkeeper,England,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Verrips,Sheffield-United,Goalkeeper,Netherlands,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Moore,Sheffield-United,Goalkeeper,England,30,0,0,0,0,0,0,0,0,0,0,44,0,0,10,5
Aaron Ramsdale,Sheffield-United,Goalkeeper,England,22,0,0,5,0,0,0,0,0,0,1,1000,0,0,220,132
George Baldock,Sheffield-United,Defender,England,27,2,0,13,64,4,36,70,192,41,3,1178,3,0,22,0
Enda Stevens,Sheffield-United,Defender,Ireland,30,2,0,13,98,7,48,96,228,39,4,1670,9,2,82,0
Jack O'Connell,Sheffield-United,Defender,England,26,0,0,12,26,3,44,151,190,140,1,1634,6,1,129,0
Chris Basham,Sheffield-United,Defender,England,32,1,0,12,126,0,93,215,324,129,3,1656,2,0,97,0
John Egan,Sheffield-United,Defender,Ireland,27,2,0,12,46,14,58,168,204,138,0,1340,1,0,114,0
Jack Robinson,Sheffield-United,Defender,England,27,0,0,1,14,0,10,28,35,14,0,291,0,0,15,0
Kean Bryan,Sheffield-United,Defender,England,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Jagielka,Sheffield-United,Defender,England,38,18,0,107,703,39,618,2974,1842,783,9,14775,8,11,1830,0
Max Lowe,Sheffield-United,Defender,England,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Ampadu,Sheffield-United,Defender,Wales,20,0,0,0,2,0,0,9,4,1,0,28,0,0,1,0
Jayden Bogle,Sheffield-United,Defender,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Fleck,Sheffield-United,Midfielder,Scotland,29,5,11,0,39,12,26,22,120,14,2,1047,5,3,38,0
John Lundstram,Sheffield-United,Midfielder,England,26,5,11,0,47,10,34,44,105,26,3,1247,8,3,90,0
Oliver Norwood,Sheffield-United,Midfielder,Northern Ireland,29,1,6,0,66,5,49,40,136,45,1,2062,6,1,239,0
Ben Osborn,Sheffield-United,Midfielder,England,26,0,1,0,15,1,6,6,31,6,0,244,1,0,8,0
Sander Berge,Sheffield-United,Midfielder,Norway,22,1,2,0,24,2,11,16,85,38,1,412,1,0,14,0
Jack Rodwell,Sheffield-United,Midfielder,England,29,10,58,0,212,63,113,227,470,148,4,3881,2,11,271,0
Regan Slater,Sheffield-United,Midfielder,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Burke,Sheffield-United,Midfielder,Scotland,23,0,0,0,6,2,7,2,34,8,2,149,1,1,3,0
Zak Brunt,Sheffield-United,Midfielder,England,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver McBurnie,Sheffield-United,Forward,Scotland,24,6,31,0,45,8,17,45,0,0,1,785,3,0,0,0
Billy Sharp,Sheffield-United,Forward,England,34,3,7,0,7,3,1,3,0,0,2,233,5,0,0,0
David McGoldrick,Sheffield-United,Forward,Ireland,32,2,20,0,41,9,3,24,0,0,2,636,4,0,0,0
Lys Mousset,Sheffield-United,Forward,France,24,9,24,0,25,25,8,17,0,0,4,585,9,0,0,0
Alex McCarthy,Southampton,Goalkeeper,England,30,0,0,17,0,0,0,0,0,0,0,2325,0,0,628,314
Angus Gunn,Southampton,Goalkeeper,England,24,0,0,5,0,0,0,0,0,0,0,520,0,0,117,63
Fraser Forster,Southampton,Goalkeeper,England,32,0,0,37,0,0,0,0,0,0,0,2515,0,0,773,259
Harry Lewis,Southampton,Goalkeeper,England,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Vestergaard,Southampton,Defender,Denmark,28,1,0,8,74,5,62,273,280,169,0,1709,3,3,98,0
Jack Stephens,Southampton,Defender,England,26,4,0,21,123,4,136,396,381,185,4,3850,3,5,237,0
Ryan Bertrand,Southampton,Defender,England,31,7,0,59,338,34,331,396,987,322,15,8783,29,9,309,0
Jake Vokins,Southampton,Defender,England,20,0,0,0,2,0,0,1,3,0,0,58,0,0,3,0
Jan Bednarek,Southampton,Defender,Poland,24,2,0,11,113,3,154,390,351,217,2,2655,2,3,140,0
Yan Valery,Southampton,Defender,France,21,2,0,3,62,2,35,86,176,62,1,621,2,1,20,0
Kyle Walker-Peters,Southampton,Defender,England,23,0,0,5,41,2,28,36,137,17,6,925,5,0,22,0
Mohammed Salisu,Southampton,Defender,Ghana,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moussa Djenepo,Southampton,Midfielder,Mali,22,2,8,0,28,4,10,9,117,6,2,266,3,1,5,0
Oriol Romeu,Southampton,Midfielder,Spain,29,4,23,0,471,38,328,254,1000,304,0,7889,12,9,434,0
James Ward-Prowse,Southampton,Midfielder,England,25,22,102,0,262,71,188,249,613,182,22,6946,36,17,294,0
Stuart Armstrong,Southampton,Midfielder,Scotland,28,8,32,0,61,23,23,34,184,31,5,1230,3,2,34,0
Sofiane Boufal,Southampton,Midfielder,Morocco,27,3,20,0,91,28,15,9,371,23,4,1328,9,9,36,0
Nathan Redmond,Southampton,Midfielder,England,26,25,129,0,253,108,113,74,924,69,18,5788,37,27,243,0
William Smallbone,Southampton,Midfielder,Ireland,20,0,0,0,13,2,3,1,0,0,2,248,0,0,0,0
Nathan Tella,Southampton,Midfielder,England,21,0,1,0,0,0,0,0,7,1,0,4,0,0,0,0
Shane Long,Southampton,Forward,Ireland,33,55,161,0,230,53,125,181,0,0,23,4540,25,0,0,0
Danny Ings,Southampton,Forward,England,28,45,108,0,106,65,37,45,0,0,9,1938,14,0,0,0
Che Adams,Southampton,Forward,England,24,4,13,0,6,15,2,9,0,0,2,282,5,0,0,0
Michael Obafemi,Southampton,Forward,Ireland,20,4,8,0,8,7,7,0,0,0,3,156,3,0,0,0
Hugo Lloris,Tottenham-Hotspur,Goalkeeper,France,33,0,0,92,0,0,0,0,0,0,0,6702,0,0,1543,703
Paulo Gazzaniga,Tottenham-Hotspur,Goalkeeper,Argentina,28,0,0,6,0,0,0,0,0,0,0,982,0,0,221,127
Joe Hart,Tottenham-Hotspur,Goalkeeper,England,33,0,0,127,0,0,0,0,0,0,1,6733,0,0,1800,941
Alfie Whiteman,Tottenham-Hotspur,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Austin,Tottenham-Hotspur,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toby Alderweireld,Tottenham-Hotspur,Defender,Belgium,31,8,0,60,226,27,183,976,556,282,4,10036,5,22,1081,0
Davinson S?nchez,Tottenham-Hotspur,Defender,Colombia,24,1,0,23,122,5,102,384,379,199,1,4901,1,0,249,0
Juan Foyth,Tottenham-Hotspur,Defender,Argentina,22,1,0,3,38,0,11,50,96,28,0,642,2,1,23,0
Serge Aurier,Tottenham-Hotspur,Defender,Cote D'Ivoire,27,3,0,12,162,10,85,149,394,130,9,2326,11,1,64,0
Ben Davies,Tottenham-Hotspur,Defender,Wales,27,6,0,51,390,32,263,625,957,343,15,8593,20,5,327,0
Japhet Tanganga,Tottenham-Hotspur,Defender,England,21,0,0,2,17,1,11,29,45,18,0,201,0,0,6,0
Matt Doherty,Tottenham-Hotspur,Defender,Ireland,28,8,0,19,128,16,103,137,508,288,8,2970,11,4,103,0
Dennis Cirkin,Tottenham-Hotspur,Defender,England,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Carter-Vickers,Tottenham-Hotspur,Defender,United States,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Reguil?n,Tottenham-Hotspur,Defender,Spain,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Winks,Tottenham-Hotspur,Midfielder,England,24,2,6,0,88,8,73,64,230,33,2,4198,3,11,199,0
Erik Lamela,Tottenham-Hotspur,Midfielder,Argentina,28,16,69,0,247,72,103,32,633,38,23,4019,28,36,90,0
Eric Dier,Tottenham-Hotspur,Midfielder,England,26,10,27,0,286,32,257,530,822,418,8,9661,11,16,648,0
Moussa Sissoko,Tottenham-Hotspur,Midfielder,France,31,14,69,0,280,54,163,176,1069,240,24,8466,34,60,257,0
Ryan Sessegnon,Tottenham-Hotspur,Midfielder,England,20,2,11,0,29,6,22,48,113,24,6,846,6,5,18,0
Dele Alli,Tottenham-Hotspur,Midfielder,England,24,50,128,0,237,82,127,99,817,121,33,5517,44,67,167,0
Tanguy Ndombele,Tottenham-Hotspur,Midfielder,France,23,2,4,0,24,3,14,8,102,8,2,672,1,4,19,0
Gedson Fernandes,Tottenham-Hotspur,Midfielder,Portugal,21,0,0,0,2,1,1,0,6,0,0,39,0,0,0,0
Pierre-Emile H?jbjerg,Tottenham-Hotspur,Midfielder,Denmark,25,4,40,0,245,34,177,131,639,153,4,5860,4,20,315,0
Harvey White,Tottenham-Hotspur,Midfielder,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,Tottenham-Hotspur,Midfielder,Argentina,24,0,3,0,51,7,9,17,140,9,2,995,1,8,44,0
Lucas Moura,Tottenham-Hotspur,Forward,Brazil,28,14,37,0,95,29,42,51,0,0,5,1653,7,0,0,0
Jack Clarke,Tottenham-Hotspur,Forward,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Son Heung-Min,Tottenham-Hotspur,Forward,South Korea,28,57,151,0,110,96,57,43,0,0,29,3731,32,0,0,0
Harry Kane,Tottenham-Hotspur,Forward,England,27,144,354,0,139,190,59,147,0,0,24,4408,38,0,0,0
Steven Bergwijn,Tottenham-Hotspur,Forward,Netherlands,22,3,4,0,10,3,1,5,0,0,1,265,1,0,0,0
Gareth Bale,Tottenham-Hotspur,Forward,Wales,31,42,161,0,220,113,240,295,0,0,20,4663,32,0,0,0
Sam Johnstone,West-Bromwich-Albion,Goalkeeper,England,27,0,0,0,0,0,0,0,0,0,0,51,0,0,16,6
David Button,West-Bromwich-Albion,Goalkeeper,England,31,0,0,1,0,0,0,0,0,0,0,99,0,0,27,14
Jonathan Bond,West-Bromwich-Albion,Goalkeeper,England,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darnell Furlong,West-Bromwich-Albion,Defender,England,24,0,0,0,3,1,9,12,27,15,0,117,0,0,8,0
Kieran Gibbs,West-Bromwich-Albion,Defender,England,30,2,0,35,332,20,307,496,757,239,9,6012,13,11,162,0
Kyle Bartley,West-Bromwich-Albion,Defender,England,29,0,0,1,32,2,26,115,95,46,0,776,0,0,44,0
Semi Ajayi,West-Bromwich-Albion,Defender,Nigeria,26,0,0,0,0,0,2,3,1,1,0,54,0,0,5,0
Conor Townsend,West-Bromwich-Albion,Defender,England,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Hegazi,West-Bromwich-Albion,Defender,Egypt,29,2,0,10,58,0,60,270,192,103,0,1186,0,1,135,0
Dara O'Shea,West-Bromwich-Albion,Defender,Ireland,21,0,0,0,8,0,1,6,12,3,0,79,0,0,13,0
C?dric Kipr?,West-Bromwich-Albion,Defender,Cote D'Ivoire,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Peltier,West-Bromwich-Albion,Defender,England,33,0,0,5,39,0,18,53,78,30,0,342,0,0,21,0
Branislav Ivanovic,West-Bromwich-Albion,Defender,Serbia,36,22,0,86,528,40,393,1137,1427,587,20,9871,20,12,660,0
Jake Livermore,West-Bromwich-Albion,Midfielder,England,30,7,32,0,363,41,227,164,633,108,9,6813,11,20,482,0
Matt Phillips,West-Bromwich-Albion,Midfielder,Scotland,29,10,39,0,100,40,70,83,435,114,22,1831,23,9,60,0
Kamil Grosicki,West-Bromwich-Albion,Midfielder,Poland,32,0,7,0,4,4,8,6,21,1,4,251,5,0,1,0
Rekeem Harper,West-Bromwich-Albion,Midfielder,England,20,0,0,0,1,0,1,0,2,0,0,18,0,0,2,0
Romaine Sawyers,West-Bromwich-Albion,Midfielder,Saint Kitts And Nevis,28,0,0,0,2,0,2,1,6,2,0,63,0,0,3,0
Sam Field,West-Bromwich-Albion,Midfielder,England,22,1,1,0,21,4,15,9,47,12,0,275,0,0,17,0
Kyle Edwards,West-Bromwich-Albion,Midfielder,England,22,0,0,0,2,1,0,0,0,0,0,11,0,0,0,0
Grady Diangana,West-Bromwich-Albion,Midfielder,England,22,1,5,0,23,3,4,5,72,9,1,298,3,0,4,0
Conor Gallagher,West-Bromwich-Albion,Midfielder,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hal Robson-Kanu,West-Bromwich-Albion,Forward,Wales,31,12,28,0,21,17,29,34,0,0,3,682,2,0,0,0
Kenneth Zohore,West-Bromwich-Albion,Forward,Denmark,26,1,8,0,3,4,2,5,0,0,1,136,1,0,0,0
Matheus Pereira,West-Bromwich-Albion,Forward,Brazil,24,1,2,0,1,1,3,2,0,0,1,56,0,0,0,0
Charlie Austin,West-Bromwich-Albion,Forward,England,31,34,106,0,62,78,17,84,0,0,8,1500,7,0,0,0
Callum Robinson,West-Bromwich-Albion,Forward,Ireland,25,1,5,0,7,3,7,3,0,0,1,190,2,0,0,0
Jamie Soule,West-Bromwich-Albion,Forward,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukasz Fabianski,West-Ham-United,Goalkeeper,Poland,35,0,0,63,0,0,0,0,0,0,2,6328,0,0,1895,807
David Martin,West-Ham-United,Goalkeeper,England,34,0,0,2,0,0,0,0,0,0,0,111,0,0,40,15
Darren Randolph,West-Ham-United,Goalkeeper,Ireland,33,0,0,6,0,0,0,0,0,0,0,839,0,0,309,85
Nathan Trott,West-Ham-United,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,West-Ham-United,Defender,England,30,8,0,40,212,28,230,515,645,260,18,6957,27,6,506,0
Fabi?n Balbuena,West-Ham-United,Defender,Paraguay,29,2,0,8,57,5,79,243,188,124,0,1335,1,2,86,0
Gon?alo Cardoso,West-Ham-United,Defender,Portugal,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Ogbonna,West-Ham-United,Defender,Italy,32,4,0,28,171,10,208,689,626,373,1,4633,2,3,342,0
Issa Diop,West-Ham-United,Defender,France,23,4,0,11,97,2,114,326,291,157,1,2212,3,0,107,0
Ryan Fredericks,West-Ham-United,Defender,England,27,1,0,9,122,4,41,109,234,59,4,1358,5,0,47,0
Arthur Masuaku,West-Ham-United,Defender,The Democratic Republic Of Congo,26,0,0,12,196,5,102,140,506,74,6,2578,7,4,128,0
Ben Johnson,West-Ham-United,Defender,England,20,0,0,0,9,0,4,13,18,7,0,135,0,0,6,0
Ajibola Alese,West-Ham-United,Defender,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby,West-Ham-United,Defender,Scotland,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,West-Ham-United,Midfielder,Brazil,27,10,33,0,136,25,63,22,366,16,8,2567,14,27,127,0
Manuel Lanzini,West-Ham-United,Midfielder,Argentina,27,20,61,0,123,56,118,30,533,20,13,5096,18,24,136,0
Robert Snodgrass,West-Ham-United,Midfielder,Scotland,33,26,88,0,265,78,106,105,864,158,23,4715,35,36,135,0
Mark Noble,West-Ham-United,Midfielder,England,33,46,114,0,860,91,566,264,1607,99,35,17862,35,105,1484,0
Pablo Fornals,West-Ham-United,Midfielder,Spain,24,2,11,0,47,10,26,8,92,10,5,893,4,6,41,0
Jack Wilshere,West-Ham-United,Midfielder,England,28,8,50,0,217,43,153,53,926,59,18,7494,32,156,364,0
Declan Rice,West-Ham-United,Midfielder,England,21,3,14,0,254,15,160,180,489,141,3,3942,2,4,275,0
Josh Cullen,West-Ham-United,Midfielder,Ireland,24,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0
Conor Coventry,West-Ham-United,Midfielder,Ireland,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,West-Ham-United,Forward,England,30,37,117,0,120,72,126,123,926,316,14,2689,21,17,117,0
Andriy Yarmolenko,West-Ham-United,Forward,Ukraine,30,7,17,0,18,8,8,7,0,0,1,626,7,0,0,0
Jarrod Bowen,West-Ham-United,Forward,England,23,1,7,0,24,14,19,4,0,0,4,328,4,0,0,0
S?bastien Haller,West-Ham-United,Forward,France,26,7,28,0,22,10,8,26,0,0,1,779,2,0,0,0
Xande Silva,West-Ham-United,Forward,Portugal,23,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0
Emmanuel Longelo,West-Ham-United,Forward,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rui Patr?cio,Wolverhampton-Wanderers,Goalkeeper,Portugal,32,0,0,21,0,0,0,0,0,0,0,1530,0,0,550,195
John Ruddy,Wolverhampton-Wanderers,Goalkeeper,England,33,0,0,25,0,0,0,0,0,0,0,2580,0,0,736,389
Willy Boly,Wolverhampton-Wanderers,Defender,France,29,4,0,20,147,6,116,285,425,234,1,2779,5,2,129,0
Conor Coady,Wolverhampton-Wanderers,Defender,England,27,0,0,23,71,0,62,251,160,68,0,3617,2,7,545,0
Jonny,Wolverhampton-Wanderers,Defender,Spain,26,3,0,14,170,18,113,82,367,74,3,2162,3,2,53,0
R?ben Vinagre,Wolverhampton-Wanderers,Defender,Portugal,21,0,0,2,40,2,26,31,107,16,0,556,3,1,14,0
Maximilian Kilman,Wolverhampton-Wanderers,Defender,England,23,0,0,0,4,0,4,7,17,12,0,101,0,0,2,0
Oskar Buur,Wolverhampton-Wanderers,Defender,Denmark,22,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0
Mar?al,Wolverhampton-Wanderers,Defender,Brazil,31,0,0,1,2,0,2,3,11,6,0,37,0,0,2,0
Ki-Jana Hoever,Wolverhampton-Wanderers,Defender,Netherlands,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R?ben Neves,Wolverhampton-Wanderers,Midfielder,Portugal,23,6,26,0,139,55,131,77,263,60,5,4024,7,19,440,0
Daniel Podence,Wolverhampton-Wanderers,Midfielder,Portugal,24,1,3,0,7,4,2,1,28,0,2,143,4,2,6,0
Romain Sa?ss,Wolverhampton-Wanderers,Midfielder,Morocco,30,5,15,0,97,6,87,187,326,186,1,2453,4,1,208,0
Jo?o Moutinho,Wolverhampton-Wanderers,Midfielder,Portugal,34,2,9,0,210,10,91,59,340,43,14,3778,16,10,281,0
Leander Dendoncker,Wolverhampton-Wanderers,Midfielder,Belgium,25,6,15,0,124,6,61,92,328,158,0,1966,2,0,81,0
Vitinha,Wolverhampton-Wanderers,Midfielder,Portugal,20,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
Meritan Shabani,Wolverhampton-Wanderers,Midfielder,Germany,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Neto,Wolverhampton-Wanderers,Forward,Portugal,20,3,6,0,11,7,9,3,0,0,4,399,5,0,0,0
Ra?l Jim?nez,Wolverhampton-Wanderers,Forward,Mexico,29,32,82,0,51,53,43,75,0,0,13,2108,26,0,0,0
Adama Traor?,Wolverhampton-Wanderers,Forward,Spain,24,5,21,0,86,26,27,26,0,0,12,1434,13,0,0,0
F?bio Silva,Wolverhampton-Wanderers,Forward,Portugal,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Leonardo Campana,Wolverhampton-Wanderers,Forward,Ecuador,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
